SampleID	Time_point	Tissue_type	State	Field	Sampling_date	ID	NewSampleID	OldID	Site	Main_plot	Sub_plot_A	Sub_plot_B	CA_Row	Location	Block	Bed	row	Year
MCCR1R1	T0	Rhizosphere	California	CA_Field_1		MCC1	Z-T0-MCC1		CA1	mulch	control	control	1					2021
MCCR2R1	T0	Rhizosphere	California	CA_Field_1		MCC2	Z-T0-MCC2		CA1	mulch	control	control	2					2021
MCCR3R1	T0	Rhizosphere	California	CA_Field_1		MCC3	Z-T0-MCC3		CA1	mulch	control	control	3					2021
MCCR4R1	T0	Rhizosphere	California	CA_Field_1		MCC4	Z-T0-MCC4		CA1	mulch	control	control	4					2021
MCHR1R1	T0	Rhizosphere	California	CA_Field_1		MCH1	Z-T0-MCH1		CA1	mulch	control	humic	1					2021
MCHR2R1	T0	Rhizosphere	California	CA_Field_1		MCH2	Z-T0-MCH2		CA1	mulch	control	humic	2					2021
MCHR3R1	T0	Rhizosphere	California	CA_Field_1		MCH3	Z-T0-MCH3		CA1	mulch	control	humic	3					2021
MCHR4R1	T0	Rhizosphere	California	CA_Field_1		MCH4	Z-T0-MCH4		CA1	mulch	control	humic	4					2021
MGCR1R1	T0	Rhizosphere	California	CA_Field_1		MGC1	Z-T0-MGC1		CA1	mulch	Glyphosate	control	1					2021
MGCR2R1	T0	Rhizosphere	California	CA_Field_1		MGC2	Z-T0-MGC2		CA1	mulch	Glyphosate	control	2					2021
MGCR3R1	T0	Rhizosphere	California	CA_Field_1		MGC3	Z-T0-MGC3		CA1	mulch	Glyphosate	control	3					2021
MGCR4R1	T0	Rhizosphere	California	CA_Field_1		MGC4	Z-T0-MGC4		CA1	mulch	Glyphosate	control	4					2021
MGHR1R1	T0	Rhizosphere	California	CA_Field_1		MGH1	Z-T0-MGH1		CA1	mulch	Glyphosate	humic	1					2021
MGHR2R1	T0	Rhizosphere	California	CA_Field_1		MGH2	Z-T0-MGH2		CA1	mulch	Glyphosate	humic	2					2021
